Tiempo astronómico	Energía	Momento angular
1.63	-0.000111285	0.00355091
1.64	-0.000111285	0.00355091
1.65	-0.000111285	0.00355091
1.66	-0.000111285	0.00355091
1.67	-0.000111285	0.00355091
1.68	-0.000111285	0.00355091
1.69	-0.000111285	0.00355091
1.7	-0.000111285	0.00355091
1.71	-0.000111285	0.00355091
1.72	-0.000111285	0.00355091
1.73	-0.000111285	0.00355091
1.74	-0.000111285	0.00355091
1.75	-0.000111285	0.00355091
1.76	-0.000111285	0.00355091
1.77	-0.000111285	0.00355091
1.78	-0.000111285	0.00355091
1.79	-0.000111285	0.00355091
1.8	-0.000111285	0.00355091
1.81	-0.000111285	0.00355091
1.82	-0.000111285	0.00355091
1.83	-0.000111285	0.00355091
1.84	-0.000111285	0.00355091
1.85	-0.000111285	0.00355091
1.86	-0.000111285	0.00355091
1.87	-0.000111285	0.00355091
1.88	-0.000111285	0.00355091
1.89	-0.000111285	0.00355091
1.9	-0.000111285	0.00355091
1.91	-0.000111285	0.00355091
1.92	-0.000111285	0.00355091
1.93	-0.000111285	0.00355091
1.94	-0.000111285	0.00355091
1.95	-0.000111285	0.00355091
1.96	-0.000111285	0.00355091
1.97	-0.000111285	0.00355091
1.98	-0.000111285	0.00355091
1.99	-0.000111285	0.00355091
2	-0.000111285	0.00355091
2.01	-0.000111284	0.00355091
2.02	-0.000111284	0.00355091
2.03	-0.000111284	0.00355091
2.04	-0.000111284	0.00355091
2.05	-0.000111284	0.00355091
2.06	-0.000111284	0.00355091
2.07	-0.000111284	0.00355091
2.08	-0.000111284	0.00355091
2.09	-0.000111284	0.00355091
2.1	-0.000111284	0.00355091
2.11	-0.000111284	0.00355091
2.12	-0.000111284	0.00355091
2.13	-0.000111284	0.00355091
2.14	-0.000111284	0.00355091
2.15	-0.000111284	0.00355091
2.16	-0.000111284	0.00355091
2.17	-0.000111284	0.00355091
2.18	-0.000111284	0.00355091
2.19	-0.000111284	0.00355091
2.2	-0.000111284	0.00355091
2.21	-0.000111284	0.00355091
2.22	-0.000111284	0.00355091
2.23	-0.000111284	0.00355091
2.24	-0.000111284	0.00355091
2.25	-0.000111284	0.00355091
2.26	-0.000111284	0.00355091
2.27	-0.000111284	0.00355091
2.28	-0.000111284	0.00355091
2.29	-0.000111284	0.00355091
2.3	-0.000111284	0.00355091
2.31	-0.000111284	0.00355091
2.32	-0.000111284	0.00355091
2.33	-0.000111284	0.00355091
2.34	-0.000111284	0.00355091
2.35	-0.000111284	0.00355091
2.36	-0.000111284	0.00355091
2.37	-0.000111284	0.00355091
2.38	-0.000111284	0.00355091
2.39	-0.000111284	0.00355091
2.4	-0.000111284	0.00355091
2.41	-0.000111284	0.00355091
2.42	-0.000111284	0.00355091
2.43	-0.000111284	0.00355091
2.44	-0.000111284	0.00355091
2.45	-0.000111284	0.00355091
2.46	-0.000111284	0.00355091
2.47	-0.000111284	0.00355091
2.48	-0.000111284	0.00355091
2.49	-0.000111284	0.00355091
2.5	-0.000111284	0.00355091
2.51	-0.000111284	0.00355091
2.52	-0.000111284	0.00355091
2.53	-0.000111284	0.00355091
2.54	-0.000111284	0.00355091
2.55	-0.000111284	0.00355091
2.56	-0.000111284	0.00355091
2.57	-0.000111284	0.00355091
2.58	-0.000111284	0.00355091
2.59	-0.000111284	0.00355091
2.6	-0.000111284	0.00355091
2.61	-0.000111284	0.00355091
2.62	-0.000111284	0.00355091
2.63	-0.000111284	0.00355091
2.64	-0.000111284	0.00355091
2.65	-0.000111284	0.00355091
2.66	-0.000111284	0.00355091
2.67	-0.000111284	0.00355091
2.68	-0.000111284	0.00355091
2.69	-0.000111284	0.00355091
2.7	-0.000111284	0.00355091
2.71	-0.000111284	0.00355091
2.72	-0.000111284	0.00355091
2.73	-0.000111284	0.00355091
2.74	-0.000111284	0.00355091
2.75	-0.000111284	0.00355091
2.76	-0.000111284	0.00355091
2.77	-0.000111284	0.00355091
2.78	-0.000111284	0.00355091
2.79	-0.000111284	0.00355091
2.8	-0.000111284	0.00355091
2.81	-0.000111284	0.00355091
2.82	-0.000111284	0.00355091
2.83	-0.000111284	0.00355091
2.84	-0.000111284	0.00355091
2.85	-0.000111284	0.00355091
2.86	-0.000111284	0.00355091
2.87	-0.000111284	0.00355091
2.88	-0.000111284	0.00355091
2.89	-0.000111284	0.00355091
2.9	-0.000111284	0.00355091
2.91	-0.000111284	0.00355091
2.92	-0.000111284	0.00355091
2.93	-0.000111284	0.00355091
2.94	-0.000111284	0.00355091
2.95	-0.000111284	0.00355091
2.96	-0.000111284	0.00355091
2.97	-0.000111284	0.00355091
2.98	-0.000111284	0.00355091
2.99	-0.000111284	0.00355091
3	-0.000111284	0.00355091
3.01	-0.000111283	0.00355091
3.02	-0.000111283	0.00355091
3.03	-0.000111283	0.00355091
