Planetas	Tiempo astronómico	Tiempo (días)
Planeta número 1	1.51	87.7751
Planeta número 2	3.85	223.797
Planeta número 3	6.29	365.633
Planeta número 4	14.31	831.829
Planeta número 5	75.31	4377.71
Planeta número 6	190.27	11060.2
Planeta número 7	527.63	30670.7
Planeta número 8	1013.44	58910.4
